"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
3.340357625E0;-4.041478880E-1;-4.072578393E-1;1.760859758E-1
3.350279625E0;-1.789524453E-1;-8.868107991E-1;1.602780282E-1
3.360201625E0;1.541340847E-1;-1.145987829E0;1.287574428E-1
3.370123625E0;4.860307977E-1;-7.427995786E-1;-3.491366619E-1
3.380045625E0;4.749209417E-1;-6.742040645E-1;-1.953116208E-1
3.389966625E0;3.162596321E-1;-2.721890581E-1;-2.755792737E-3
3.399888625E0;1.642918129E-1;-1.707853286E-1;2.574698621E-1
3.409810625E0;1.910132230E-1;8.959980905E-3;2.726767159E-1
3.419732625E0;1.996257331E-1;-2.716028016E-2;4.379716551E-1
3.429654625E0;1.122125086E-1;8.654420033E-2;2.750196952E-1
3.439576625E0;1.179470740E-1;-3.622566078E-1;-2.381863296E-2
3.449498625E0;1.332660846E-1;-2.368535299E-2;-7.033498764E-2
3.459420625E0;-1.932372297E-2;2.739388373E-1;-6.730729938E-3
3.469342625E0;-2.039179914E-2;1.851385985E-1;-1.530473614E-1
3.479264625E0;-1.536987777E-1;5.204838714E-1;2.449422026E-1
3.489186625E0;1.276789239E-1;-4.878898029E0;3.622934818E-3
3.499108625E0;-1.008168444E0;-7.178973981E0;-3.159741783E-1
3.509030625E0;-4.972569035E-1;1.131575977E0;2.333448350E-2
3.518952625E0;7.642215110E-1;4.092571485E-1;-1.317465395E-1
3.528874625E0;-2.823442464E-1;-2.987960089E-1;6.714305109E-1
3.538795625E0;-2.188238597E-1;-8.021270366E-1;5.630003285E-1
3.548717625E0;4.438165319E-1;-2.112041337E-1;4.611277986E-1
3.558639625E0;2.923359320E-2;5.049403276E-2;1.579508364E-1
3.568561625E0;4.619996550E-2;-1.829922684E-2;1.057726228E-1
3.578483625E0;5.918388144E-2;-5.537547112E-2;2.303569078E-2
3.588405625E0;2.685013105E-2;5.250799656E-3;1.026016778E-1
3.598327625E0;4.409888275E-2;2.742713246E-2;6.909186959E-2
3.608249625E0;3.870461161E-2;4.291384857E-2;1.949812531E-2
3.618171625E0;4.465519507E-2;5.092124496E-2;6.478890359E-2
3.628093625E0;5.531000057E-2;1.004683211E-2;5.967200518E-2
3.638015625E0;5.029279718E-2;-3.228722848E-3;1.068900257E-1
3.647937625E0;5.771316966E-2;-1.854484644E-2;8.637390018E-2
3.657859625E0;6.498001161E-2;-6.945958637E-2;2.895313150E-1
3.667781625E0;8.122545420E-2;-1.861219905E-2;3.681939071E-1
3.677703625E0;8.745771814E-2;-4.243561942E-2;4.810521859E-1
3.687625625E0;7.433150929E-2;-1.814783146E-1;4.580890006E-1
3.697546625E0;8.815750195E-2;1.364682757E-1;-8.601429641E-1
3.707468625E0;6.039859938E-2;6.431213625E-2;-1.924727976E-1
3.717390625E0;6.835840034E-2;-3.198642578E-2;2.181069911E-1
3.727312625E0;5.908643394E-3;4.651547760E-2;-7.935607195E-2
3.737234625E0;5.427020574E-2;8.341601305E-3;1.723536980E-1
3.747156625E0;4.952196514E-2;-2.451518252E-3;7.725750625E-2
3.757078625E0;3.570443267E-2;-1.409116846E-2;1.040149498E-1
3.767000625E0;4.039799724E-2;4.949448779E-3;1.462219065E-1
3.776922625E0;3.829817074E-2;1.906597953E-2;5.359791756E-2
3.786844625E0;7.413907651E-2;-3.036155764E-2;2.632358015E-1
